Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
2016-04-28,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,4,Thursday
2016-04-29,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,5,Friday
2016-04-30,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,6,Saturday
2016-05-01,2016,2,Q2,2016 - Q2,5,May,May 2016,18,Week 18,7,Sunday
2016-05-02,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,1,Monday
2016-05-03,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,2,Tuesday
2016-05-04,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,3,Wednesday
2016-05-05,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,4,Thursday
2016-05-06,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,5,Friday
2016-05-07,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,6,Saturday
2016-05-08,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,7,Sunday
2016-05-09,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,1,Monday
2016-05-10,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,2,Tuesday
2016-05-11,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,3,Wednesday
2016-05-12,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,4,Thursday
2016-05-13,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,5,Friday
2016-05-14,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,6,Saturday
2016-05-15,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,7,Sunday
2016-05-16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,1,Monday
2016-05-17,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,2,Tuesday
2016-05-18,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,3,Wednesday
2016-05-19,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,4,Thursday
2016-05-20,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,5,Friday
2016-05-21,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,6,Saturday
2016-05-22,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,7,Sunday
2016-05-23,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,1,Monday
2016-05-24,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,2,Tuesday
2016-05-25,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,3,Wednesday
2016-05-26,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,4,Thursday
2016-05-27,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,5,Friday
2016-05-28,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,6,Saturday
2016-05-29,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,7,Sunday
2016-05-30,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,1,Monday
2016-05-31,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,2,Tuesday
2016-06-01,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,3,Wednesday
2016-06-02,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,4,Thursday
2016-06-03,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,5,Friday
2016-06-04,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,6,Saturday
2016-06-05,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,7,Sunday
2016-06-06,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,1,Monday
2016-06-07,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,2,Tuesday
2016-06-08,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,3,Wednesday
2016-06-09,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,4,Thursday
2016-06-10,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,5,Friday
2016-06-11,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,6,Saturday
2016-06-12,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,7,Sunday
2016-06-13,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,1,Monday
2016-06-14,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,2,Tuesday
2016-06-15,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,3,Wednesday
2016-06-16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,4,Thursday
2016-06-17,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,5,Friday
2016-06-18,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,6,Saturday
2016-06-19,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,7,Sunday
2016-06-20,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,1,Monday
